Station_Code,Station_Name,Short,Medium,Long,Total_Distinct_Trains,Pct_Short,Pct_Medium,Pct_Long
ULNR,ULHASNAGAR,109,0,4,113,96.5,0.0,3.5
ARA,ARA,5,16,92,113,4.4,14.2,81.4
DTK,DATTAPUKUR,39,73,0,112,34.8,65.2,0.0
BMG,BAMANGACHHI,39,73,0,112,34.8,65.2,0.0
FDB,FARIDABAD,11,40,61,112,9.8,35.7,54.5
DHN,DHANBAD JN.,11,20,80,111,9.9,18.0,72.1
JAT,JAMMU TAWI,7,10,93,110,6.4,9.1,84.5
ON,UNNAO JN.,8,31,71,110,7.3,28.2,64.5
VLDI,VITHALWADI,109,0,0,109,100.0,0.0,0.0
PXR,PALPARA,1,107,1,109,0.9,98.2,0.9
SPN,SHAHJAHANPUR,5,11,93,109,4.6,10.1,85.3
FLR,FULESWAR,13,91,5,109,11.9,83.5,4.6
UBL,HUBLI JN.,6,7,96,109,5.5,6.4,88.1
STPD,SITAFALMANDI,49,41,19,109,45.0,37.6,17.4
CAN,KANNUR,9,11,89,109,8.3,10.1,81.7
BRBD,BORABANDA,80,28,0,108,74.1,25.9,0.0
BTNR,BHARATNAGAR,80,28,0,108,74.1,25.9,0.0
CDNR,CHANDANAGAR,80,28,0,108,74.1,25.9,0.0
CNGR,CHENGANNUR,3,17,88,108,2.8,15.7,81.5
GNT,GUNTUR JN.,18,12,78,108,16.7,11.1,72.2
FNB,FATEHNAGAR,80,28,0,108,74.1,25.9,0.0
PSA,PALASA,5,21,82,108,4.6,19.4,75.9
PNU,PALANPUR JN,8,13,87,108,7.4,12.0,80.6
BEAS,BEAS JN,1,19,88,108,0.9,17.6,81.5
NCHS,NATURE CURE,80,28,0,108,74.1,25.9,0.0
HTCY,HITECH CITY,80,28,0,108,74.1,25.9,0.0
KYQ,KAMAKHYA JN,5,10,92,107,4.7,9.3,86.0
BBK,BARA BANKI J,8,10,89,107,7.5,9.3,83.2
IGP,IGATPURI,5,13,88,106,4.7,12.3,83.0
TKJ,TILAK BRIDGE,28,55,22,105,26.7,52.4,21.0
SEE,SONPUR JN.,5,18,82,105,4.8,17.1,78.1
JU,JODHPUR JN.,8,7,90,105,7.6,6.7,85.7
KOK,KORUKKUPET,8,94,2,104,7.7,90.4,1.9
TRVL,TIRUVALLA,3,17,84,104,2.9,16.3,80.8
TVT,TIRUVOTTIYUR,8,94,2,104,7.7,90.4,1.9
ENR,ENNORE,8,94,2,104,7.7,90.4,1.9
TNP,TONDIARPET,8,94,2,104,7.7,90.4,1.9
MXT,MALAKPET,49,40,14,103,47.6,38.8,13.6
NALR,NALPUR,13,87,3,103,12.6,84.5,2.9
CSB,SHIVAJI BRID,28,55,20,103,27.2,53.4,19.4
SEL,SANKRAIL,13,88,2,103,12.6,85.4,1.9
BST,BASTI,6,9,88,103,5.8,8.7,85.4
CGA,CHENGEL,13,87,3,103,12.6,84.5,2.9
JJKR,JAJPUR KEONJ,1,16,85,102,1.0,15.7,83.3
MDU,MADURAI JN,3,15,84,102,2.9,14.7,82.4
MJR,MINJUR,7,93,2,102,6.9,91.2,2.0
PON,PONNERI,7,93,2,102,6.9,91.2,2.0
DSA,DELHI-SHAHDA,12,37,53,102,11.8,36.3,52.0
AIP,ATTIPATTU,7,93,2,102,6.9,91.2,2.0
TVC,TRIVANDRUM C,6,17,79,102,5.9,16.7,77.5
AIPP,ATTIPATTU PU,7,93,1,101,6.9,92.1,1.0
BXR,BUXAR,5,9,87,101,5.0,8.9,86.1
YKA,YAKUT PURA,49,40,12,101,48.5,39.6,11.9
DVD,DUVVADA,4,10,87,101,4.0,9.9,86.1
DQR,DABIR PURA,49,40,12,101,48.5,39.6,11.9
KIG,KOLAGHAT,2,96,3,101,2.0,95.0,3.0
HPG,HUPPUGUDA,49,40,12,101,48.5,39.6,11.9
ROK,ROHTAK JN.,6,34,61,101,5.9,33.7,60.4
MJT,MAJERHAT,64,36,0,100,64.0,36.0,0.0
PAU,PURNA  JN.,2,8,90,100,2.0,8.0,90.0
ABR,ABU ROAD,8,12,80,100,8.0,12.0,80.0
HBJ,HABIBGANJ,4,5,91,100,4.0,5.0,91.0
DTE,DEULTI,2,95,3,100,2.0,95.0,3.0
VAR,VIDYA NAGAR,49,41,9,99,49.5,41.4,9.1
SV,SIWAN JN.,18,12,69,99,18.2,12.1,69.7
ALJN,ALIGARH JN.,3,14,82,99,3.0,14.1,82.8
NED,NANDED,2,13,84,99,2.0,13.1,84.8
ATC,ARTS COLLAGE,49,41,9,99,49.5,41.4,9.1
BEPR,BELAPUR C.B.,99,0,0,99,100.0,0.0,0.0
JMP,JAMALPUR JN.,20,18,61,99,20.2,18.2,61.6
KOAA,KOLKATA,4,28,67,99,4.0,28.3,67.7
KGG,KHAGARIA JN.,10,15,74,99,10.1,15.2,74.7
JOO,JAMAI-OSMANI,49,41,9,99,49.5,41.4,9.1
BNC,BANGALORE CA,6,27,66,99,6.1,27.3,66.7
FL,PHULERA JN.,6,13,80,99,6.1,13.1,80.8
BDTS,BANDRA TERMI,5,5,88,98,5.1,5.1,89.8
KGY,KULGACHIA,5,90,3,98,5.1,91.8,3.1
RMJ,RAMRAJATALA,7,89,2,98,7.1,90.8,2.0
KLNP,KALINARAYANP,13,74,11,98,13.3,75.5,11.2
PURI,PURI,5,6,87,98,5.1,6.1,88.8
KMT,KHAMMAM,7,9,82,98,7.1,9.2,83.7
BSBP,BIRSHIBPUR,5,90,3,98,5.1,91.8,3.1
GMO,NSC BOSE J G,6,17,75,98,6.1,17.3,76.5
SKZR,SIRPURKAGHAZ,5,10,83,98,5.1,10.2,84.7
GPD,GUMMIDIPUNDI,5,89,4,98,5.1,90.8,4.1
NCB,NEW COOCH BE,3,8,86,97,3.1,8.2,88.7
SKG,SAKTI GARH J,6,91,0,97,6.2,93.8,0.0
GRP,GANGPUR,6,91,0,97,6.2,93.8,0.0
TPKR,TIKIAPARA,7,88,1,96,7.3,91.7,1.0
SUNR,SURENDRANAGA,7,10,79,96,7.3,10.4,82.3
BNJ,BANGAON JN.,38,58,0,96,39.6,60.4,0.0
RJT,RAJKOT,3,8,85,96,3.1,8.3,88.5
MTD,MERTA ROAD J,26,9,61,96,27.1,9.4,63.5
ADRA,ADRA,12,21,63,96,12.5,21.9,65.6
RN,RATNAGIRI,10,8,77,95,10.5,8.4,81.1
BTE,BHARATPUR JN,14,20,61,95,14.7,21.1,64.2
DSNR,DASHNAGAR,7,87,1,95,7.4,91.6,1.1
