Train_No,Start_Station_Code,Start_Station_Name,Start_Departure_Time,End_Station_Code,End_Station_Name,End_Arrival_Time,Midnight_Rollover,Duration_Minutes,Duration_Hours,Duration_Computable,Duration_Status,Total_Distance_km,Route_Type,Classification_Basis
66047,MMCC,MOOR MARKET,09:50:00,TPTY,TIRUPATI,13:05:00,False,195.0,3.25,True,Valid (Same Day),148.0,Medium,Duration
66048,TPTY,TIRUPATI,13:30:00,MMCC,MOOR MARKET,17:05:00,False,215.0,3.58,True,Valid (Same Day),146.0,Medium,Duration
66049,AJJ,ARAKKONAM JN,20:40:00,TPTY,TIRUPATI,23:25:00,False,165.0,2.75,True,Valid (Same Day),78.0,Medium,Duration
66050,TPTY,TIRUPATI,05:10:00,AJJ,ARAKKONAM JN,07:10:00,False,120.0,2.0,True,Valid (Same Day),77.0,Medium,Duration
66051,MMCC,MOOR MARKET,14:05:00,AVD,AVADI,14:45:00,False,40.0,0.67,True,Valid (Same Day),20.0,Short,Duration
66052,AVD,AVADI,14:50:00,MMCC,MOOR MARKET,15:35:00,False,45.0,0.75,True,Valid (Same Day),21.0,Short,Duration
66053,MSB,CHENNAI BEAC,16:40:00,TRL,TIRUVALLUR,18:10:00,False,90.0,1.5,True,Valid (Same Day),42.0,Medium,Duration
66054,TRL,TIRUVALLUR,22:10:00,AVD,AVADI,22:40:00,False,30.0,0.5,True,Valid (Same Day),20.0,Short,Duration
66300,QLN,QUILON,07:45:00,ERS,ERNAKULAM. J,12:00:00,False,255.0,4.25,True,Valid (Same Day),155.0,Long,Duration
66301,ERS,ERNAKULAM. J,14:40:00,QLN,QUILON,18:55:00,False,255.0,4.25,True,Valid (Same Day),155.0,Long,Duration
66302,QLN,QUILON,08:50:00,ERS,ERNAKULAM. J,12:20:00,False,210.0,3.5,True,Valid (Same Day),140.0,Medium,Duration
66303,ERS,ERNAKULAM. J,12:25:00,QLN,QUILON,15:55:00,False,210.0,3.5,True,Valid (Same Day),142.0,Medium,Duration
66304,QLN,QUILON,09:40:00,CAPE,KANNIYAKUMAR,14:20:00,False,280.0,4.67,True,Valid (Same Day),151.0,Long,Duration
66305,CAPE,KANNIYAKUMAR,16:30:00,QLN,QUILON,21:40:00,False,310.0,5.17,True,Valid (Same Day),151.0,Long,Duration
66307,ERS,ERNAKULAM. J,05:50:00,QLN,QUILON,09:50:00,False,240.0,4.0,True,Valid (Same Day),155.0,Medium,Duration
66308,QLN,QUILON,11:10:00,ERS,ERNAKULAM. J,15:25:00,False,255.0,4.25,True,Valid (Same Day),155.0,Long,Duration
66309,ERS,ERNAKULAM. J,19:40:00,QLN,QUILON,23:20:00,False,220.0,3.67,True,Valid (Same Day),142.0,Medium,Duration
66310,QLN,QUILON,20:50:00,ERS,ERNAKULAM. J,00:25:00,True,215.0,3.58,True,Valid (Midnight Rollover +1 Day),140.0,Medium,Duration
6647,KRBA,KORBA,05:30:00,BSP,BILASPUR JN.,07:40:00,False,130.0,2.17,True,Valid (Same Day),89.0,Medium,Duration
6648,BSP,BILASPUR JN.,16:00:00,KRBA,KORBA,18:30:00,False,150.0,2.5,True,Valid (Same Day),89.0,Medium,Duration
66511,SBC,KRANTIVIRA S,12:20:00,MKM,MARIKUPPAM,15:05:00,False,165.0,2.75,True,Valid (Same Day),85.0,Medium,Duration
66512,MKM,MARIKUPPAM,08:00:00,SBC,KRANTIVIRA S,10:30:00,False,150.0,2.5,True,Valid (Same Day),86.0,Medium,Duration
66513,BWT,BANGARPET JN,07:10:00,MKM,MARIKUPPAM,07:45:00,False,35.0,0.58,True,Valid (Same Day),17.0,Short,Duration
66514,MKM,MARIKUPPAM,15:15:00,BYPL,BAIYYAPPANAH,17:10:00,False,115.0,1.92,True,Valid (Same Day),73.0,Medium,Duration
66515,BYPL,BAIYYAPPANAH,17:25:00,MKM,MARIKUPPAM,19:15:00,False,110.0,1.83,True,Valid (Same Day),74.0,Medium,Duration
66516,MKM,MARIKUPPAM,19:25:00,BWT,BANGARPET JN,19:55:00,False,30.0,0.5,True,Valid (Same Day),16.0,Short,Duration
66517,MKM,MARIKUPPAM,22:40:00,BWT,BANGARPET JN,23:15:00,False,35.0,0.58,True,Valid (Same Day),16.0,Short,Duration
66518,BWT,BANGARPET JN,04:00:00,MKM,MARIKUPPAM,04:35:00,False,35.0,0.58,True,Valid (Same Day),17.0,Short,Duration
66519,MKM,MARIKUPPAM,04:45:00,SBC,KRANTIVIRA S,07:40:00,False,175.0,2.92,True,Valid (Same Day),86.0,Medium,Duration
66520,SBC,KRANTIVIRA S,20:15:00,MKM,MARIKUPPAM,22:30:00,False,135.0,2.25,True,Valid (Same Day),87.0,Medium,Duration
66523,SBC,KRANTIVIRA S,17:45:00,HUP,HINDUPUR,20:25:00,False,160.0,2.67,True,Valid (Same Day),98.0,Medium,Duration
66524,HUP,HINDUPUR,06:30:00,SBC,KRANTIVIRA S,09:25:00,False,175.0,2.92,True,Valid (Same Day),98.0,Medium,Duration
66527,KPN,KUPPAM,21:35:00,BWT,BANGARPET JN,22:20:00,False,45.0,0.75,True,Valid (Same Day),34.0,Short,Duration
66528,BWT,BANGARPET JN,05:50:00,KPN,KUPPAM,06:35:00,False,45.0,0.75,True,Valid (Same Day),34.0,Short,Duration
66529,KPN,KUPPAM,06:45:00,SBC,KRANTIVIRA S,09:40:00,False,175.0,2.92,True,Valid (Same Day),102.0,Medium,Duration
66530,SBC,KRANTIVIRA S,09:50:00,BWT,BANGARPET JN,11:15:00,False,85.0,1.42,True,Valid (Same Day),68.0,Medium,Duration
66531,BWT,BANGARPET JN,12:40:00,SBC,KRANTIVIRA S,14:20:00,False,100.0,1.67,True,Valid (Same Day),68.0,Medium,Duration
